start_time,average_value
2025-06-07 00:00:00,47.853846153846156
2025-06-07 01:00:00,50.905660377358494
2025-06-07 02:00:00,51.99361702127659
2025-06-07 03:00:00,47.45283018867924
2025-06-07 04:00:00,53.348
2025-06-07 05:00:00,51.279629629629625
2025-06-07 06:00:00,47.358823529411765
2025-06-07 07:00:00,48.26603773584905
2025-06-07 08:00:00,51.81346153846154
2025-06-07 09:00:00,44.309615384615384
2025-06-07 10:00:00,50.74791666666667
2025-06-07 11:00:00,45.903999999999996
2025-06-07 12:00:00,48.11224489795919
2025-06-07 13:00:00,54.10208333333333
2025-06-07 14:00:00,47.33846153846154
2025-06-07 15:00:00,46.525925925925925
2025-06-07 16:00:00,53.25384615384615
2025-06-07 17:00:00,48.5
2025-06-07 18:00:00,52.93269230769231
2025-06-07 19:00:00,47.55957446808511
2025-06-07 20:00:00,49.03584905660377
2025-06-07 21:00:00,56.22264150943396
2025-06-07 22:00:00,42.31923076923077
2025-06-07 23:00:00,53.97708333333333
